audit_family,dataset,model,protected_attribute,fairness_metric,effective_support,unstable_share,mean_vi,max_vi
adult__logistic_regression__sex__dpr_violation,adult,logistic_regression,sex,dpr_violation,2429.11,0.0,0.0,0.0
adult__logistic_regression__sex__eod_violation,adult,logistic_regression,sex,eod_violation,265.05,0.25806451612903225,0.12627741935483872,0.4928
adult__logistic_regression__sex__equalized_odds_violation,adult,logistic_regression,sex,equalized_odds_violation,265.05,0.25806451612903225,0.11198064516129032,0.4928
adult__random_forest__race__dpd_violation,adult,random_forest,race,dpd_violation,1062.38,0.06451612903225806,0.03407096774193548,0.4352
adult__random_forest__race__dpr_violation,adult,random_forest,race,dpr_violation,1062.38,0.0975609756097561,0.038951219512195115,0.4117999999999999
adult__random_forest__race__eod_violation,adult,random_forest,race,eod_violation,162.01,0.2903225806451613,0.12585806451612905,0.4968
adult__random_forest__race__equalized_odds_violation,adult,random_forest,race,equalized_odds_violation,162.01,0.25806451612903225,0.11244516129032259,0.4968
adult__random_forest__sex__dpd_violation,adult,random_forest,sex,dpd_violation,2429.11,0.06451612903225806,0.029354838709677415,0.4032
adult__random_forest__sex__dpr_violation,adult,random_forest,sex,dpr_violation,2429.11,0.0,0.0,0.0
adult__random_forest__sex__eod_violation,adult,random_forest,sex,eod_violation,265.05,0.25806451612903225,0.12423225806451613,0.4998
adult__random_forest__sex__equalized_odds_violation,adult,random_forest,sex,equalized_odds_violation,265.05,0.22580645161290322,0.11028387096774193,0.4998
compas__hist_gradient_boosting__race__dpd_violation,compas,hist_gradient_boosting,race,dpd_violation,314.44,0.3225806451612903,0.14480645161290323,0.4928
compas__hist_gradient_boosting__race__dpr_violation,compas,hist_gradient_boosting,race,dpr_violation,314.44,0.1951219512195122,0.06386341463414634,0.4352
compas__hist_gradient_boosting__race__eod_violation,compas,hist_gradient_boosting,race,eod_violation,122.45,0.45161290322580644,0.18738064516129033,0.4968
compas__hist_gradient_boosting__race__equalized_odds_violation,compas,hist_gradient_boosting,race,equalized_odds_violation,122.45,0.45161290322580644,0.1839741935483871,0.4968
compas__hist_gradient_boosting__sex__dpd_violation,compas,hist_gradient_boosting,sex,dpd_violation,155.49,0.3548387096774194,0.1511290322580645,0.4982
compas__hist_gradient_boosting__sex__dpr_violation,compas,hist_gradient_boosting,sex,dpr_violation,155.49,0.1951219512195122,0.09164878048780488,0.4488
compas__hist_gradient_boosting__sex__eod_violation,compas,hist_gradient_boosting,sex,eod_violation,55.6,0.5806451612903226,0.2471870967741935,0.4998
compas__hist_gradient_boosting__sex__equalized_odds_violation,compas,hist_gradient_boosting,sex,equalized_odds_violation,55.6,0.5161290322580645,0.21679354838709675,0.4992
compas__logistic_regression__race__dpd_violation,compas,logistic_regression,race,dpd_violation,314.44,0.22580645161290322,0.10742580645161288,0.4968
compas__logistic_regression__race__dpr_violation,compas,logistic_regression,race,dpr_violation,314.44,0.0,0.006229268292682927,0.0392
compas__logistic_regression__race__eod_violation,compas,logistic_regression,race,eod_violation,122.45,0.25806451612903225,0.11780645161290322,0.4992
compas__logistic_regression__race__equalized_odds_violation,compas,logistic_regression,race,equalized_odds_violation,122.45,0.25806451612903225,0.11418064516129033,0.4992
compas__logistic_regression__sex__dpd_violation,compas,logistic_regression,sex,dpd_violation,155.49,0.0967741935483871,0.03760645161290322,0.3542
compas__logistic_regression__sex__dpr_violation,compas,logistic_regression,sex,dpr_violation,155.49,0.0,0.0,0.0
compas__logistic_regression__sex__eod_violation,compas,logistic_regression,sex,eod_violation,55.6,0.0967741935483871,0.04705161290322581,0.3318
compas__logistic_regression__sex__equalized_odds_violation,compas,logistic_regression,sex,equalized_odds_violation,55.6,0.06451612903225806,0.04296129032258064,0.32
compas__random_forest__race__dpd_violation,compas,random_forest,race,dpd_violation,314.44,0.3225806451612903,0.1440516129032258,0.4928
compas__random_forest__race__dpr_violation,compas,random_forest,race,dpr_violation,314.44,0.17073170731707318,0.0866,0.4982
compas__random_forest__race__eod_violation,compas,random_forest,race,eod_violation,122.45,0.41935483870967744,0.17692258064516128,0.4968000000000001
compas__random_forest__race__equalized_odds_violation,compas,random_forest,race,equalized_odds_violation,122.45,0.41935483870967744,0.1748,0.4968000000000001
compas__random_forest__sex__dpd_violation,compas,random_forest,sex,dpd_violation,155.49,0.3548387096774194,0.15728387096774193,0.5
compas__random_forest__sex__dpr_violation,compas,random_forest,sex,dpr_violation,155.49,0.21951219512195122,0.09870243902439023,0.4712
compas__random_forest__sex__eod_violation,compas,random_forest,sex,eod_violation,55.6,0.5161290322580645,0.2339806451612903,0.4998
compas__random_forest__sex__equalized_odds_violation,compas,random_forest,sex,equalized_odds_violation,55.6,0.45161290322580644,0.19616774193548384,0.4998
german__hist_gradient_boosting__age_lt_25__dpd_violation,german,hist_gradient_boosting,age_lt_25,dpd_violation,23.91780821917808,0.7096774193548387,0.3035853727928135,0.4991555638956653
german__hist_gradient_boosting__age_lt_25__dpr_violation,german,hist_gradient_boosting,age_lt_25,dpr_violation,23.91780821917808,0.6585365853658537,0.28803280714360907,0.499906173766185
german__hist_gradient_boosting__age_lt_25__eod_violation,german,hist_gradient_boosting,age_lt_25,eod_violation,14.485714285714286,0.6774193548387096,0.3114285714285714,0.4995918367346939
