,verdict_instability,sd_accuracy,sd_auroc,sd_f1,effective_support_n,log_effective_support_n,boundary_distance,standardized_boundary_distance
verdict_instability,1.0,0.4046561535395814,0.4037803020576024,0.2949678935668489,-0.4908998444632996,-0.4908998444632996,-0.7699349270546584,-0.9271613820110277
sd_accuracy,0.4046561535395814,1.0,0.986013986013986,0.7832167832167832,-0.7812177264182114,-0.7812177264182114,-0.06650123392619206,-0.4728852120046734
sd_auroc,0.4037803020576024,0.986013986013986,1.0,0.7552447552447552,-0.7812177264182114,-0.7812177264182114,-0.06642555485891899,-0.4703182362574382
sd_f1,0.2949678935668489,0.7832167832167832,0.7552447552447552,1.0,-0.7130881650266425,-0.7130881650266425,0.0694203113851375,-0.33966967847058205
effective_support_n,-0.4908998444632996,-0.7812177264182114,-0.7812177264182114,-0.7130881650266425,1.0,1.0,0.1396661128052609,0.5794215455241762
log_effective_support_n,-0.4908998444632996,-0.7812177264182114,-0.7812177264182114,-0.7130881650266425,1.0,1.0,0.1396661128052609,0.5794215455241762
boundary_distance,-0.7699349270546584,-0.06650123392619206,-0.06642555485891899,0.0694203113851375,0.1396661128052609,0.1396661128052609,1.0,0.8063612347090906
standardized_boundary_distance,-0.9271613820110277,-0.4728852120046734,-0.4703182362574382,-0.33966967847058205,0.5794215455241762,0.5794215455241762,0.8063612347090906,1.0
