audit_tolerance,operating_threshold,operational_step_change,audit_boundary_step_change,operating_threshold_step_size,audit_tolerance_step_size,dataset,model,protected_attribute,fairness_metric
0.05,0.35,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.05,0.4,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.05,0.45,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.05,0.5,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.05,0.55,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.05,0.6,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.05,0.65,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.05,0.7,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.06,0.3,,0.01,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.06,0.35,0.0,0.01,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.06,0.4,0.01,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.06,0.45,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.06,0.5,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.06,0.55,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.06,0.6,0.0,0.0,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.06,0.65,0.01,0.01,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.06,0.7,0.01,0.02,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.07,0.3,,0.060000000000000005,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.07,0.35,0.04000000000000001,0.019999999999999997,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.07,0.4,0.019999999999999997,0.01,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.07,0.45,0.0,0.01,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.07,0.5,0.0,0.01,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.07,0.55,0.01,0.02,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.07,0.6,0.009999999999999998,0.03,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.07,0.65,0.010000000000000002,0.03,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.07,0.7,0.04,0.06,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.08,0.3,,0.07,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.08,0.35,0.030000000000000013,0.08,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.08,0.4,0.039999999999999994,0.060000000000000005,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.08,0.45,0.030000000000000006,0.03,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.08,0.5,0.0,0.03,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.08,0.55,0.04,0.06,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.08,0.6,0.0,0.05,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.08,0.65,0.09000000000000001,0.13,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
0.08,0.7,0.12999999999999998,0.21999999999999997,0.04999999999999999,0.010000000000000005,acs_income,hist_gradient_boosting,race,dpd_violation
