dataset,model,protected_attribute,fairness_metric,audit_tolerance,p,n_retrainings,mean_violation,sd_violation,mean_min_group_n,mean_min_positive_group_n,mean_min_negative_group_n,verdict_instability,sd_accuracy,sd_auroc,sd_f1,mean_accuracy,mean_auroc,audit_family,effective_support_n,log_effective_support_n,boundary_distance,standardized_boundary_distance,vi_scaled,unstable_region
acs_income,hist_gradient_boosting,race,dpd_violation,0.0,0.0,100,0.10711646966968644,0.016245647013749222,1138.78,412.75,726.03,0.0,0.007059134541243758,0.005774328388784498,0.009057520660681712,0.8095600000000001,0.8902881034406769,acs_income__hist_gradient_boosting__race__dpd_violation,1138.78,7.03859054030889,0.10711646966968644,6.593549002944005,0.0,0
acs_income,hist_gradient_boosting,race,dpd_violation,0.01,0.0,100,0.10711646966968644,0.016245647013749222,1138.78,412.75,726.03,0.0,0.007059134541243758,0.005774328388784498,0.009057520660681712,0.8095600000000001,0.8902881034406769,acs_income__hist_gradient_boosting__race__dpd_violation,1138.78,7.03859054030889,0.09711646966968644,5.9779994965724415,0.0,0
acs_income,hist_gradient_boosting,race,dpd_violation,0.02,0.0,100,0.10711646966968644,0.016245647013749222,1138.78,412.75,726.03,0.0,0.007059134541243758,0.005774328388784498,0.009057520660681712,0.8095600000000001,0.8902881034406769,acs_income__hist_gradient_boosting__race__dpd_violation,1138.78,7.03859054030889,0.08711646966968643,5.3624499902008775,0.0,0
acs_income,hist_gradient_boosting,race,dpd_violation,0.03,0.0,100,0.10711646966968644,0.016245647013749222,1138.78,412.75,726.03,0.0,0.007059134541243758,0.005774328388784498,0.009057520660681712,0.8095600000000001,0.8902881034406769,acs_income__hist_gradient_boosting__race__dpd_violation,1138.78,7.03859054030889,0.07711646966968644,4.7469004838293145,0.0,0
acs_income,hist_gradient_boosting,race,dpd_violation,0.04,0.0,100,0.10711646966968644,0.016245647013749222,1138.78,412.75,726.03,0.0,0.007059134541243758,0.005774328388784498,0.009057520660681712,0.8095600000000001,0.8902881034406769,acs_income__hist_gradient_boosting__race__dpd_violation,1138.78,7.03859054030889,0.06711646966968643,4.13135097745775,0.0,0
acs_income,hist_gradient_boosting,race,dpd_violation,0.05,0.0,100,0.10711646966968644,0.016245647013749222,1138.78,412.75,726.03,0.0,0.007059134541243758,0.005774328388784498,0.009057520660681712,0.8095600000000001,0.8902881034406769,acs_income__hist_gradient_boosting__race__dpd_violation,1138.78,7.03859054030889,0.057116469669686434,3.5158014710861867,0.0,0
acs_income,hist_gradient_boosting,race,dpd_violation,0.06,0.0,100,0.10711646966968644,0.016245647013749222,1138.78,412.75,726.03,0.0,0.007059134541243758,0.005774328388784498,0.009057520660681712,0.8095600000000001,0.8902881034406769,acs_income__hist_gradient_boosting__race__dpd_violation,1138.78,7.03859054030889,0.04711646966968644,2.9002519647146237,0.0,0
acs_income,hist_gradient_boosting,race,dpd_violation,0.07,0.01,100,0.10711646966968644,0.016245647013749222,1138.78,412.75,726.03,0.0198,0.007059134541243758,0.005774328388784498,0.009057520660681712,0.8095600000000001,0.8902881034406769,acs_income__hist_gradient_boosting__race__dpd_violation,1138.78,7.03859054030889,0.03711646966968643,2.2847024583430593,0.0396,0
acs_income,hist_gradient_boosting,race,dpd_violation,0.08,0.04,100,0.10711646966968644,0.016245647013749222,1138.78,412.75,726.03,0.0768,0.007059134541243758,0.005774328388784498,0.009057520660681712,0.8095600000000001,0.8902881034406769,acs_income__hist_gradient_boosting__race__dpd_violation,1138.78,7.03859054030889,0.027116469669686435,1.669152951971496,0.1536,0
acs_income,hist_gradient_boosting,race,dpd_violation,0.09,0.11,100,0.10711646966968644,0.016245647013749222,1138.78,412.75,726.03,0.1958,0.007059134541243758,0.005774328388784498,0.009057520660681712,0.8095600000000001,0.8902881034406769,acs_income__hist_gradient_boosting__race__dpd_violation,1138.78,7.03859054030889,0.01711646966968644,1.0536034455999328,0.3916,1
