dataset,model,protected_attribute,fairness_metric,audit_tolerance,pass_probability,n_retrainings,mean_violation,sd_violation,median_violation,q05,q95,mean_accuracy,sd_accuracy,mean_auroc,sd_auroc,mean_min_group_n,mean_min_positive_group_n,mean_min_negative_group_n,verdict_instability,audit_agreement
acs_income,hist_gradient_boosting,race,dpd_violation,0.0,0.0,100,0.10711646966968644,0.016245647013749222,0.10583358291953224,0.08122405552823808,0.13639845737587386,0.8095600000000001,0.007059134541243758,0.8902881034406769,0.005774328388784498,1138.78,412.75,726.03,0.0,1.0
acs_income,hist_gradient_boosting,race,dpd_violation,0.01,0.0,100,0.10711646966968644,0.016245647013749222,0.10583358291953224,0.08122405552823808,0.13639845737587386,0.8095600000000001,0.007059134541243758,0.8902881034406769,0.005774328388784498,1138.78,412.75,726.03,0.0,1.0
acs_income,hist_gradient_boosting,race,dpd_violation,0.02,0.0,100,0.10711646966968644,0.016245647013749222,0.10583358291953224,0.08122405552823808,0.13639845737587386,0.8095600000000001,0.007059134541243758,0.8902881034406769,0.005774328388784498,1138.78,412.75,726.03,0.0,1.0
acs_income,hist_gradient_boosting,race,dpd_violation,0.03,0.0,100,0.10711646966968644,0.016245647013749222,0.10583358291953224,0.08122405552823808,0.13639845737587386,0.8095600000000001,0.007059134541243758,0.8902881034406769,0.005774328388784498,1138.78,412.75,726.03,0.0,1.0
acs_income,hist_gradient_boosting,race,dpd_violation,0.04,0.0,100,0.10711646966968644,0.016245647013749222,0.10583358291953224,0.08122405552823808,0.13639845737587386,0.8095600000000001,0.007059134541243758,0.8902881034406769,0.005774328388784498,1138.78,412.75,726.03,0.0,1.0
acs_income,hist_gradient_boosting,race,dpd_violation,0.05,0.0,100,0.10711646966968644,0.016245647013749222,0.10583358291953224,0.08122405552823808,0.13639845737587386,0.8095600000000001,0.007059134541243758,0.8902881034406769,0.005774328388784498,1138.78,412.75,726.03,0.0,1.0
acs_income,hist_gradient_boosting,race,dpd_violation,0.06,0.0,100,0.10711646966968644,0.016245647013749222,0.10583358291953224,0.08122405552823808,0.13639845737587386,0.8095600000000001,0.007059134541243758,0.8902881034406769,0.005774328388784498,1138.78,412.75,726.03,0.0,1.0
acs_income,hist_gradient_boosting,race,dpd_violation,0.07,0.01,100,0.10711646966968644,0.016245647013749222,0.10583358291953224,0.08122405552823808,0.13639845737587386,0.8095600000000001,0.007059134541243758,0.8902881034406769,0.005774328388784498,1138.78,412.75,726.03,0.0198,0.9802
acs_income,hist_gradient_boosting,race,dpd_violation,0.08,0.04,100,0.10711646966968644,0.016245647013749222,0.10583358291953224,0.08122405552823808,0.13639845737587386,0.8095600000000001,0.007059134541243758,0.8902881034406769,0.005774328388784498,1138.78,412.75,726.03,0.0768,0.9232
acs_income,hist_gradient_boosting,race,dpd_violation,0.09,0.11,100,0.10711646966968644,0.016245647013749222,0.10583358291953224,0.08122405552823808,0.13639845737587386,0.8095600000000001,0.007059134541243758,0.8902881034406769,0.005774328388784498,1138.78,412.75,726.03,0.1958,0.8042
acs_income,hist_gradient_boosting,race,dpd_violation,0.1,0.35,100,0.10711646966968644,0.016245647013749222,0.10583358291953224,0.08122405552823808,0.13639845737587386,0.8095600000000001,0.007059134541243758,0.8902881034406769,0.005774328388784498,1138.78,412.75,726.03,0.45499999999999996,0.545
acs_income,hist_gradient_boosting,race,dpd_violation,0.11,0.61,100,0.10711646966968644,0.016245647013749222,0.10583358291953224,0.08122405552823808,0.13639845737587386,0.8095600000000001,0.007059134541243758,0.8902881034406769,0.005774328388784498,1138.78,412.75,726.03,0.4758,0.5242
acs_income,hist_gradient_boosting,race,dpd_violation,0.12,0.79,100,0.10711646966968644,0.016245647013749222,0.10583358291953224,0.08122405552823808,0.13639845737587386,0.8095600000000001,0.007059134541243758,0.8902881034406769,0.005774328388784498,1138.78,412.75,726.03,0.3318,0.6682
acs_income,hist_gradient_boosting,race,dpd_violation,0.13,0.92,100,0.10711646966968644,0.016245647013749222,0.10583358291953224,0.08122405552823808,0.13639845737587386,0.8095600000000001,0.007059134541243758,0.8902881034406769,0.005774328388784498,1138.78,412.75,726.03,0.14719999999999994,0.8528
acs_income,hist_gradient_boosting,race,dpd_violation,0.14,0.96,100,0.10711646966968644,0.016245647013749222,0.10583358291953224,0.08122405552823808,0.13639845737587386,0.8095600000000001,0.007059134541243758,0.8902881034406769,0.005774328388784498,1138.78,412.75,726.03,0.07680000000000006,0.9231999999999999
acs_income,hist_gradient_boosting,race,dpd_violation,0.15,0.99,100,0.10711646966968644,0.016245647013749222,0.10583358291953224,0.08122405552823808,0.13639845737587386,0.8095600000000001,0.007059134541243758,0.8902881034406769,0.005774328388784498,1138.78,412.75,726.03,0.01980000000000002,0.9802
acs_income,hist_gradient_boosting,race,dpd_violation,0.16,1.0,100,0.10711646966968644,0.016245647013749222,0.10583358291953224,0.08122405552823808,0.13639845737587386,0.8095600000000001,0.007059134541243758,0.8902881034406769,0.005774328388784498,1138.78,412.75,726.03,0.0,1.0
acs_income,hist_gradient_boosting,race,dpd_violation,0.17,1.0,100,0.10711646966968644,0.016245647013749222,0.10583358291953224,0.08122405552823808,0.13639845737587386,0.8095600000000001,0.007059134541243758,0.8902881034406769,0.005774328388784498,1138.78,412.75,726.03,0.0,1.0
acs_income,hist_gradient_boosting,race,dpd_violation,0.18,1.0,100,0.10711646966968644,0.016245647013749222,0.10583358291953224,0.08122405552823808,0.13639845737587386,0.8095600000000001,0.007059134541243758,0.8902881034406769,0.005774328388784498,1138.78,412.75,726.03,0.0,1.0
acs_income,hist_gradient_boosting,race,dpd_violation,0.19,1.0,100,0.10711646966968644,0.016245647013749222,0.10583358291953224,0.08122405552823808,0.13639845737587386,0.8095600000000001,0.007059134541243758,0.8902881034406769,0.005774328388784498,1138.78,412.75,726.03,0.0,1.0
acs_income,hist_gradient_boosting,race,dpd_violation,0.2,1.0,100,0.10711646966968644,0.016245647013749222,0.10583358291953224,0.08122405552823808,0.13639845737587386,0.8095600000000001,0.007059134541243758,0.8902881034406769,0.005774328388784498,1138.78,412.75,726.03,0.0,1.0
acs_income,hist_gradient_boosting,race,dpd_violation,0.21,1.0,100,0.10711646966968644,0.016245647013749222,0.10583358291953224,0.08122405552823808,0.13639845737587386,0.8095600000000001,0.007059134541243758,0.8902881034406769,0.005774328388784498,1138.78,412.75,726.03,0.0,1.0
acs_income,hist_gradient_boosting,race,dpd_violation,0.22,1.0,100,0.10711646966968644,0.016245647013749222,0.10583358291953224,0.08122405552823808,0.13639845737587386,0.8095600000000001,0.007059134541243758,0.8902881034406769,0.005774328388784498,1138.78,412.75,726.03,0.0,1.0
acs_income,hist_gradient_boosting,race,dpd_violation,0.23,1.0,100,0.10711646966968644,0.016245647013749222,0.10583358291953224,0.08122405552823808,0.13639845737587386,0.8095600000000001,0.007059134541243758,0.8902881034406769,0.005774328388784498,1138.78,412.75,726.03,0.0,1.0
acs_income,hist_gradient_boosting,race,dpd_violation,0.24,1.0,100,0.10711646966968644,0.016245647013749222,0.10583358291953224,0.08122405552823808,0.13639845737587386,0.8095600000000001,0.007059134541243758,0.8902881034406769,0.005774328388784498,1138.78,412.75,726.03,0.0,1.0
acs_income,hist_gradient_boosting,race,dpd_violation,0.25,1.0,100,0.10711646966968644,0.016245647013749222,0.10583358291953224,0.08122405552823808,0.13639845737587386,0.8095600000000001,0.007059134541243758,0.8902881034406769,0.005774328388784498,1138.78,412.75,726.03,0.0,1.0
acs_income,hist_gradient_boosting,race,dpd_violation,0.26,1.0,100,0.10711646966968644,0.016245647013749222,0.10583358291953224,0.08122405552823808,0.13639845737587386,0.8095600000000001,0.007059134541243758,0.8902881034406769,0.005774328388784498,1138.78,412.75,726.03,0.0,1.0
acs_income,hist_gradient_boosting,race,dpd_violation,0.27,1.0,100,0.10711646966968644,0.016245647013749222,0.10583358291953224,0.08122405552823808,0.13639845737587386,0.8095600000000001,0.007059134541243758,0.8902881034406769,0.005774328388784498,1138.78,412.75,726.03,0.0,1.0
acs_income,hist_gradient_boosting,race,dpd_violation,0.28,1.0,100,0.10711646966968644,0.016245647013749222,0.10583358291953224,0.08122405552823808,0.13639845737587386,0.8095600000000001,0.007059134541243758,0.8902881034406769,0.005774328388784498,1138.78,412.75,726.03,0.0,1.0
acs_income,hist_gradient_boosting,race,dpd_violation,0.29,1.0,100,0.10711646966968644,0.016245647013749222,0.10583358291953224,0.08122405552823808,0.13639845737587386,0.8095600000000001,0.007059134541243758,0.8902881034406769,0.005774328388784498,1138.78,412.75,726.03,0.0,1.0
acs_income,hist_gradient_boosting,race,dpd_violation,0.3,1.0,100,0.10711646966968644,0.016245647013749222,0.10583358291953224,0.08122405552823808,0.13639845737587386,0.8095600000000001,0.007059134541243758,0.8902881034406769,0.005774328388784498,1138.78,412.75,726.03,0.0,1.0
acs_income,hist_gradient_boosting,race,dpr_violation,0.0,0.0,100,0.23721971095264974,0.032868822899374116,0.2350548378376917,0.18601358980125396,0.29449892021339263,0.8095600000000001,0.007059134541243758,0.8902881034406769,0.005774328388784498,1138.78,412.75,726.03,0.0,1.0
